,english,francais
2327,vs,vs
2328,shift,décalage
2329,exposure,exposition
2330,secret,secret
2331,dbase,dbase
2332,miss,manquer
2333,freedom,liberté
2334,developer,promoteur
2335,consultant,consultant
2336,college,collège
2337,extension,extension
2338,dealer,revendeur
2339,incident,incident
2340,nearby,proche
2341,provision,disposition
2342,asking,demandant
2343,day,jour
2344,virus,virus
2345,morgan,morgan
2346,williams,williams
2347,commitment,engagement
2348,presentation,présentation
2349,using,utilisation
2350,s,s
2351,regulators,régulateurs
2352,warned,averti
2353,flexibility,flexibilité
2354,compete,rivaliser
2355,independence,indépendance
2356,shared,commun
2357,bridge,pont
2358,adapter,adaptateur
2359,reflect,réfléchir
2360,fee,frais
2361,mortgage,hypothèque
2362,friend,ami
2363,lee,lee
2364,ideas,idées
2365,treaty,traité
2366,q,q
2367,rapidly,rapidement
2368,dallas,dallas
2369,joseph,joseph
2370,regulatory,réglementation
2371,e,e
2372,implement,exécuter
2373,capital,capital
2374,protocols,protocoles
2375,wordperfect,wordperfect
2376,demonstrated,démontré
2377,begins,commence
2378,gm,gm
2379,doubt,doute
2380,mission,mission
2381,oracle,oracle
2382,measurements,mesures
2383,edge,bord
2384,provides,fournit
2385,italian,italien
2386,depending,fonction
2387,mechanism,mécanisme
2388,giant,géant
2389,comparison,comparaison
2390,crew,équipage
2391,politics,politique
2392,reactor,réacteur
2393,funding,financement
2394,deep,profond
2395,importance,importance
2396,initially,initialement
2397,none,aucun
2398,pick,choisir
2399,houston,houston
2400,virginia,virginie
2401,losing,perdant
2402,enable,permettre
2403,vehicle,véhicule
2404,assembly,assemblage
2405,resigned,résigné
2406,requests,demandes
2407,originally,initialement
2408,weight,poids
2409,printed,imprimé
2410,spot,place
2411,eastern,est
2412,unlikely,improbable
2413,driving,conduite
2414,great,grand
2415,armed,armé
2416,server,serveur
2417,wall,mur
2418,ec,ce
2419,instructions,instructions
2420,inventory,inventaire
2421,engineers,ingénieurs
2422,argued,soutenu
2423,producer,producteur
2424,train,train
2425,contained,contenue
2426,respect,respect
2427,thermal,thermique
2428,speaking,parlant
2429,settled,établi
2430,statistics,statistiques
2431,finally,enfin
2432,corporations,sociétés
2433,length,longueur
2434,chosen,choisi
2435,epa,epa
2436,palestinians,palestiniens
2437,unemployment,chômage
2438,compiler,compilateur
2439,passengers,passagers
2440,industries,industries
2441,just,juste
2442,seat,siège
2443,frequently,souvent
2444,interesting,intéressant
2445,remove,supprimer
2446,submitted,soumis
2447,unable,incapable
2448,government,gouvernement
2449,anonymity,anonymat
2450,missiles,missiles
2451,persian,persan
2452,creditors,créanciers
2453,jersey,jersey
2454,broadcast,diffusion
2455,unions,syndicats
2456,minor,mineur
2457,illinois,illinois
2458,temporary,temporaire
2459,samples,échantillons
2460,italy,italie
2461,fill,remplir
2462,figure,figure
2463,chrysler,chrysler
2464,errors,erreurs
2465,red,rouge
2466,tcp,tcp
2467,columbia,columbia
2468,heads,têtes
2469,preliminary,préliminaire
2470,audience,public
2471,routine,routine
2472,includes,comprend
2473,pace,rythme
2474,citizens,ressortissants
2475,flat,plat
2476,planes,avions
2477,keys,clés
2478,formal,formel
2479,intelligence,intelligence
2480,calculated,calculé
2481,receiving,recevoir
2482,experiments,expériences
2483,abc,abc
2484,express,exprimer
2485,revenue,revenu
2486,yields,rendements
2487,happy,heureux
2488,section,section
2489,blamed,blâmé
2490,moslem,musulman
2491,brief,bref
2492,word,mot
2493,crowd,foule
2494,resulted,entraîné
2495,deliver,livrer
2496,gen,gen
2497,delivered,livré
2498,purchases,achats
2499,supporters,partisans
2500,rival,rival
2501,typically,typiquement
2502,involves,implique
2503,monitors,moniteurs
2504,introduction,introduction
2505,layer,couche
2506,net,net
2507,west,ouest
2508,bay,baie
2509,improvements,améliorations
2510,boxes,boîtes
2511,advanced,avancé
2512,disclosed,divulgué
2513,four,quatre
2514,regulation,réglementation
2515,tom,tom
2516,streets,rues
2517,scientists,scientifiques
2518,boeing,boeing
2519,permit,permis
2520,helping,aider
2521,coverage,couverture
2522,hall,salle
2523,ip,ip
2524,minority,minorité
2525,languages,langues
2526,produces,produit
2527,attorney,mandataire
2528,volume,volume
2529,holders,titulaires
2530,consulting,consultant
2531,fund,fonds
2532,electric,électrique
2533,draft,ébauche
2534,company,société
2535,trust,confiance
2536,string,chaîne
2537,fairly,équitablement
2538,cold,froid
2539,mark,marque
2540,scene,scène
2541,researchers,chercheurs
2542,margin,marge
2543,pension,pension
2544,multimedia,multimédia
2545,proved,prouvé
2546,fears,craintes
2547,backed,backed
2548,margins,marges
2549,star,étoile
2550,seconds,secondes
2551,advantages,avantages
2552,operators,opérateurs
2553,bureau,bureau
2554,pattern,motif
2555,wind,vent
2556,severe,sévère
2557,testimony,témoignage
2558,panama,panama
2559,motion,mouvement
2560,ranging,allant
2561,raising,élevage
2562,australia,australie
2563,strongly,fortement
2564,square,carré
2565,revised,modifié
2566,injuries,blessures
2567,thinking,réflexion
2568,stable,stable
2569,gold,or
2570,community,communauté
2571,recorded,enregistré
2572,sending,envoi
2573,usual,habituel
2574,route,itinéraire
2575,part,partie
2576,sentence,phrase
2577,affairs,affaires
2578,shortly,prochainement
2579,economist,économiste
2580,aware,conscient
2581,carrier,transporteur
2582,discussion,discussion
2583,draw,dessiner
2584,detail,détail
2585,retired,retraité
2586,battery,batterie
2587,calculations,calculs
2588,kennedy,kennedy
2589,element,élément
2590,heating,chauffage
2591,poll,sondage
2592,unusual,inhabituel
2593,poland,pologne
2594,aspects,aspects
2595,purposes,fins
2596,relief,relief
2597,consistent,cohérent
2598,russian,russe
2599,learning,apprentissage
2600,understanding,entente
2601,sample,échantillon
2602,mine,mine
2603,neither,ni
2604,guard,garde
2605,bomb,bombe
2606,india,inde
2607,do,faire
2608,representatives,représentants
2609,time,temps
2610,representing,représentation
2611,clean,propre
2612,allegations,allégations
2613,merrill,merrill
2614,interim,intérimaire
2615,ends,extrémités
2616,bases,bases
2617,array,tableau
2618,temperatures,températures
2619,slots,fentes
2620,plastic,plastique
2621,factory,usine
2622,opportunities,opportunités
2623,bringing,apportant
2624,miami,miami
2625,transportation,transport
2626,compression,compression
2627,serving,service
2628,caught,pris
2629,exist,exister
2630,cocaine,cocaïne
2631,worse,pire
2632,resistance,résistance
2633,acting,jeu
2634,award,prix
2635,define,définir
2636,observers,observateurs
2637,editing,rédaction
2638,tend,tendre
2639,normally,normalement
2640,satellite,satellite
2641,born,né
2642,ministers,ministres
2643,noriega,noriega
2644,requirement,exigence
2645,developments,développements
2646,dealing,traitement
2647,parliament,parlement
2648,ads,annonces
2649,effectively,efficacement
2650,modern,moderne
2651,science,science
2652,built-in,encastré
2653,release,libération
2654,coalition,coalition
2655,papers,papiers
2656,church,Église
2657,starts,départs
2658,extent,ampleur
2659,amendment,amendement
2660,watch,regarder
2661,crop,récolte
2662,dedicated,dévoué
2663,liquid,liquide
2664,examined,examiné
2665,her,son
2666,signals,signaux
2667,organization,organisation
2668,requiring,exigeant
2669,conflict,conflit
2670,dynamic,dynamique
2671,concluded,conclu
2672,title,titre
2673,divided,divisé
2674,eliminate,éliminer
2675,definition,définition
2676,imposed,imposé
2677,extend,étendre
2678,island,Île
2679,meant,signifiait
2680,lake,lac
2681,formation,formation
2682,consideration,considération
2683,korean,coréen
2684,miller,meunier
2685,gasoline,essence
2686,circuit,circuit
2687,evening,soirée
2688,sessions,sessions
2689,otherwise,autrement
2690,sensitive,sensible
2691,prompted,invité
2692,sections,sections
2693,winning,gagnant
2694,brothers,brothers
2695,jail,prison
2696,insurance,assurance
2697,jewish,juif
2698,products,produits
2699,grown,mûr
2700,attempts,tentatives
2701,suppliers,fournisseurs
2702,shipped,expédiés
2703,leaves,feuilles
2704,criticized,critiqué
2705,occupied,occupé
2706,depends,dépend
2707,decades,décennies
2708,convention,convention
2709,specify,spécifier
2710,social,social
2711,speculation,spéculation
2712,requested,demandé
2713,essential,essentiel
2714,professor,professeur
2715,elsewhere,ailleurs
2716,jet,jet
2717,administrative,administratif
2718,imaging,imagerie
2719,counts,compte
2720,follows,suit
2721,catholic,catholique
2722,helps,aide
2723,specifications,caractéristiques
2724,fly,voler
2725,announce,annoncer
2726,resource,ressource
2727,turning,tournant
2728,pushed,pressé
2729,is,is
2730,drexel,drexel
2731,apparent,apparent
2732,newly,récemment
2733,shape,forme
2734,warning,avertissement
2735,arabia,saoudite
2736,lawmakers,législateurs
2737,goals,objectifs
2738,davis,davis
2739,electrical,électrique
2740,rock,rock
2741,filled,rempli
2742,seriously,sérieusement
2743,advice,conseils
2744,iranian,iranien
2745,la,la
2746,scientific,scientifique
2747,agriculture,agriculture
2748,segment,segment
2749,peak,pic
2750,channel,canal
2751,edward,edward
2752,reportedly,auraient
2753,democracy,démocratie
2754,accord,accord
2755,economists,économistes
2756,jack,jack
2757,category,catégorie
2758,prospects,perspectives
2759,default,défaut
2760,chief,chef
2761,adobe,adobe
2762,auction,enchères
2763,fbi,fbi
2764,medical,médical
2765,suspended,suspendu
2766,stood,résisté
2767,maintained,maintenu
2768,stability,stabilité
2769,blocks,blocs
2770,creation,création
2771,widespread,répandu
2772,reasonable,raisonnable
2773,locations,emplacements
2774,association,association
2775,saddam,saddam
2776,connect,relier
2777,microsystems,microsystems
2778,specified,spécifié
2779,blacks,noirs
2780,considerable,considérable
2781,branch,branche
2782,young,jeune
2783,environmental,Écologique
2784,bodies,organes
2785,ties,liens
2786,enables,permet
2787,conduct,conduite
2788,remember,rappeler
2789,acknowledged,reconnu
2790,disaster,catastrophe
2791,respond,répondre
2792,grand,grandiose
2793,benchmark,référence
2794,proper,propre
2795,shooting,tournage
2796,indicates,indique
2797,description,description
2798,lynch,lyncher
2799,availability,disponibilité
2800,voting,vote
2801,pieces,pièces
2802,rapid,rapide
2803,upper,supérieur
2804,abortion,avortement
2805,concentration,concentration
2806,connections,liens
2807,consumption,consommation
2808,swiss,suisse
2809,introduce,introduire
2810,va,virginie
2811,tour,tour
2812,mainframes,mainframes
2813,case,case
2814,annually,annuellement
2815,virtual,virtuel
2816,damages,dégâts
2817,laptop,portatif
2818,struck,frappé
2819,fallen,déchu
2820,density,densité
2821,ownership,possession
2822,wage,salaire
2823,deaths,décès
2824,portfolio,portefeuille
2825,organized,organisé
2826,guide,guider
2827,democrat,démocrate
2828,massive,massif
2829,logic,logique
2830,broken,cassé
2831,why,pourquoi
2832,is,est
2833,player,joueur
2834,channels,filières
2835,variable,variable
2836,flights,vols
2837,electricity,électricité
2838,practices,pratiques
2839,winter,hiver
2840,practical,pratique
2841,criticism,critique
2842,promise,promesse
2843,michigan,michigan
2844,cad,cad
2845,frequency,fréquence
2846,beam,faisceau
2847,sees,voit
2848,1970s,1970
2849,wilson,wilson
2850,kids,enfants
2851,encourage,encourager
2852,flexible,flexible
2853,motorola,motorola
2854,sir,monsieur
2855,barrels,barils
2856,louis,louis
2857,granted,accordée
2858,invasion,invasion
2859,offset,offset
2860,solve,résoudre
2861,displayed,affichée
2862,impossible,impossible
2863,discussions,discussions
2864,designs,dessins
2865,marked,marqué
2866,relational,relationnel
2867,nice,agréable
2868,frame,cadre
2869,awarded,décerné
2870,explain,expliquer
2871,carriers,transporteurs
2872,kansas,kansas
2873,ships,navires
2874,college,collège
2875,director,directeur
2876,simultaneously,simultanément
2877,partnership,partenariat
2878,black,noir
2879,ring,anneau
2880,climbed,grimpé
2881,protests,manifestations
2882,worry,inquiéter
2883,films,films
2884,tender,tendre
2885,philadelphia,philadelphie
2886,el,el
2887,interactive,interactif
2888,hoped,espéré
2889,modest,modeste
2890,religious,religieuse
2891,hospitals,hôpitaux
2892,picked,choisi
2893,any,tout
2894,conference,conférence
2895,fresh,frais
2896,obvious,évident
2897,native,indigène
2898,attached,attaché
2899,matters,questions
2900,microprocessor,microprocesseur
2901,evaluated,évalué
2902,die,mourir
2903,stands,peuplements
2904,acres,hectares
2905,oil,huile
2906,hostages,otages
2907,osi,osi
2908,attributed,attribué
2909,ncr,ncr
2910,file,fichier
2911,targets,cibles
2912,allegedly,prétendument
2913,specifically,spécifiquement
2914,electron,électron
2915,week,semaine
2916,appearance,apparence
2917,m,m
2918,arrest,arrêter
2919,recognition,reconnaissance
2920,holiday,vacances
2921,acquisitions,acquisitions
2922,criteria,critères
2923,focused,focalisé
2924,batch,lot
2925,courts,tribunaux
2926,graphic,graphique
2927,brother,frère
2928,thin,mince
2929,rich,riche
2930,expense,frais
2931,medium,moyen
2932,sufficient,suffisant
2933,wish,souhaiter
2934,sentenced,condamné
2935,formula,formule
2936,permanent,permanent
2937,beach,plage
2938,beat,battre
2939,shipments,expéditions
2940,admitted,admis
2941,boy,garçon
2942,facing,parement
2943,formerly,autrefois
2944,stress,stress
2945,irs,irs
2946,camp,camp
2947,item,article
2948,ratings,notes
2949,valued,estimé
2950,skills,compétences
2951,afford,permettre
2952,blue,bleu
2953,iv,iv
2954,retirement,retraite
2955,investigators,enquêteurs
2956,guarantee,garantie
2957,lived,vécu
2958,trucks,camions
2959,married,marié
2960,improving,améliorer
2961,risks,risques
2962,experienced,expérimenté
2963,damaged,endommagé
2964,modified,modifié
2965,supposed,supposé
2966,unisys,unisys
2967,contributed,contribué
2968,journal,journal
2969,fort,fort
2970,profitable,rentable
2971,island,île
2972,argument,argument
2973,functionality,fonctionnalité
2974,supplied,fourni
2975,stronger,fort
2976,describe,décrire
2977,carolina,caroline
2978,checks,contrôles
2979,life,vie
2980,entirely,entièrement
2981,registered,inscrit
2982,parliament,parlement
2983,complaints,plaintes
2984,over,sur
2985,park,parc
2986,competing,compétition
2987,cross,traverser
2988,examples,exemples
2989,shearson,shearson
2990,eye,œil
2991,modems,modems
2992,destroyed,détruit
2993,minute,minute
2994,grain,grain
2995,clara,clara
2996,speak,parler
2997,feeling,sentiment
2998,tree,arbre
2999,mentioned,mentionné
3000,exercise,exercice
3001,next,suivant
3002,adequate,adéquat
3003,motor,moteur
3004,delayed,différé
3005,excel,exceller
3006,pact,pacte
3007,monetary,monétaire
3008,hired,loué
3009,fish,poisson
3010,fla,fla
3011,plc,plc
3012,publisher,éditeur
3013,gross,brut
3014,findings,résultats
3015,representative,représentant
3016,executive,exécutif
3017,reflected,reflété
3018,plays,pièces
3019,thinks,pense
3020,constant,constante
3021,pilots,pilotes
3022,corn,blé
3023,numerous,nombreux
3024,compromise,compromis
3025,shareholder,actionnaire
3026,architecture,architecture
3027,savings,Épargnes
3028,custom,coutume
3029,premium,prime
3030,alliance,alliance
3031,execution,exécution
3032,secondary,secondaire
3033,surplus,excédent
3034,intends,entend
3035,surprise,surprise
3036,experiment,expérience
3037,interface,interface
3038,shop,boutique
3039,attorneys,avocats
3040,index,index
3041,sanctions,sanctions
3042,regions,régions
3043,membership,adhésion
3044,presents,cadeaux
3045,roughly,grossièrement
3046,authorized,autorisé
3047,soft,doux
3048,pair,paire
3049,cooperation,coopération
3050,rated,Évalué
3051,others,autres
3052,stories,histoires
3053,douglas,douglas
3054,steve,steve
3055,zone,zone
3056,assigned,attribué
3057,pulled,tiré
3058,adviser,conseiller
3059,founded,fondé
3060,harris,harris
3061,distance,distance
3062,weekly,hebdomadaire
3063,asset,atout
3064,departments,départements
3065,publicly,publiquement
3066,isdn,rnis
3067,reliability,fiabilité
3068,testified,témoigné
3069,class,classe
3070,trees,arbres
3071,gap,écart
3072,shuttle,navette
3073,alan,alan
3074,fundamental,fondamental
3075,critics,critiques
3076,university,université
3077,mike,micro
3078,speeds,vitesses
3079,continental,continental
3080,moderate,modéré
3081,regarding,concernant
3082,saved,sauvé
3083,tied,attaché
3084,band,bande
3085,jump,sauter
3086,kill,tuer
3087,ethnic,ethnique
3088,mail,courrier
3089,deposits,dépôts
3090,wheat,blé
3091,explosion,explosion
3092,simulation,simulation
3093,replacement,remplacement
3094,involve,impliquer
3095,plasma,plasma
3096,drawn,tiré
3097,nations,nations
3098,lots,beaucoup
3099,ascii,ascii
3100,arm,bras
3101,covers,couvercles
3102,participants,participants
3103,leads,prospects
3104,iowa,iowa
3105,seized,saisis
3106,associated,associated
3107,quayle,quayle
3108,laboratory,laboratoire
3109,adjusted,rajusté
3110,finance,financement
3111,loaded,chargé
3112,master,maître
3113,georgia,géorgie
3114,surprised,surpris
3115,mountain,montagne
3116,slipped,glissé
3117,desk,bureau
3118,emphasis,accentuation
3119,sports,sportif
3120,driven,poussé
3121,coup,coup
3122,mikhail,mikhail
3123,glass,verre
3124,puts,puts
3125,quarterly,trimestriel
3126,properly,correctement
3127,berlin,berlin
3128,unfortunately,malheureusement
3129,politicians,politiciens
3130,row,rangée
3131,market,marché
3132,attended,assisté
3133,food,nourriture
3134,priority,priorité
3135,sheet,feuille
3136,gun,pistolet
3137,shut,fermer
3138,assessment,évaluation
3139,negotiating,négociation
3140,kinds,types
3141,towards,vers
3142,accurate,précis
3143,aggressive,agressif
3144,invest,investir
3145,donald,donald
3146,super,super
3147,apartment,appartement
3148,solar,solaire
3149,gop,gop
3150,creates,crée
3151,publication,publication
3152,patient,patient
3153,teams,équipes
3154,comprehensive,complet
3155,worried,inquiet
3156,operated,exploité
3157,recognize,reconnaître
3158,capture,capture
3159,latter,dernier
3160,protected,protégé
3161,directed,dirigé
3162,labs,labs
3163,cast,jeter
3164,asia,asie
3165,instruction,instruction
3166,concerning,concernant
3167,delegates,délégués
3168,categories,catégories
3169,manhattan,manhattan
3170,n,n
3171,royal,royal
3172,arguments,arguments
3173,collapse,effondrement
3174,demanded,exigé
3175,faced,face
3176,promote,promouvoir
3177,teachers,enseignants
3178,contributions,contributions
3179,access,accès
3180,algorithm,algorithme
3181,pennsylvania,pennsylvanie
3182,animals,animaux
3183,coast,côte
3184,succeed,réussir
3185,chart,graphique
3186,complained,plaints
3187,standing,debout
3188,sea,mer
3189,demonstration,démonstration
3190,predict,prédire
3191,repair,réparation
3192,five-year,quinquennal
3193,substantially,substantiellement
3194,worker,travailleur
3195,compensation,compensation
3196,holdings,exploitations
3197,equipment,Équipement
3198,metals,métaux
3199,industrial,industriel
3200,acid,acide
3201,codes,codes
3202,investigating,enquête
3203,economic,Économique
3204,as,as
3205,reflects,reflète
3206,successfully,succès
3207,germans,allemands
3208,restaurant,restaurant
3209,county,comté
3210,revealed,révélé
3211,engineer,ingénieur
3212,motors,motors
3213,danger,danger
3214,box,boîte
3215,zero,zéro
3216,beijing,pékin
3217,civilian,civil
3218,pictures,photos
3219,employers,employeurs
3220,dry,sec
3221,brokers,courtiers
3222,merely,seulement
3223,happens,passe
3224,brokerage,courtage
3225,industrials,industriels
3226,reality,réalité
3227,nec,nec
3228,determination,détermination
3229,causing,provoquant
3230,five,cinq
3231,demanding,exigeant
3232,attacked,attaqué
3233,declines,baisse
3234,nomination,nomination
3235,toronto,toronto
3236,latin,latin
3237,snow,neige
3238,or,ou
3239,brings,apporte
3240,attend,assister
3241,mutual,mutuel
3242,steady,stable
3243,prosecutors,procureurs
3244,slower,ralentissez
3245,narrow,étroit
3246,dan,dan
3247,lending,prêt
3248,presentation,présentation
3249,contents,contenu
3250,entering,entrer
3251,handled,manipulés
3252,measurement,mesures
3253,brazil,brésil
3254,supplier,fournisseur
3255,connectivity,connectivité
3256,colorado,colorado
3257,lehman,lehman
3258,proceeds,produit
3259,passenger,passager
3260,argue,soutenir
3261,violations,violations
3262,equipped,équipé
3263,telling,révélateur
3264,promises,promesses
3265,crucial,crucial
3266,comparable,comparable
3267,pan,casserole
3268,reliable,fiable
3269,mayor,maire
3270,protesters,manifestants
3271,turns,tours
3272,derived,dérivé
3273,engines,moteurs
3274,sharing,partage
3275,salomon,salomon
3276,patterns,modèles
3277,society,société
3278,involvement,implication
3279,duty,devoir
3280,expanding,expansion
3281,emulation,émulation
3282,girl,fille
3283,reputation,réputation
3284,province,province
3285,investors,investisseurs
3286,switching,commutation
3287,cellular,cellulaire
3288,territory,territoire
3289,settle,régler
3290,chose,choisir
3291,lewis,lewis
3292,stated,déclaré
3293,columns,colonnes
3294,seeing,vue
3295,diego,diego
3296,barrel,baril
3297,eyes,yeux
3298,addresses,adresses
3299,writer,écrivain
3300,species,espèce
3301,green,vert
3302,polls,sondages
3303,marketplace,marché
3304,difficulties,problèmes
3305,republic,république
3306,total,total
3307,foundation,fondation
3308,howard,howard
3309,rare,rare
3310,manner,manière
3311,interaction,interaction
3312,professional,professionnel
3313,bankers,banquiers
3314,cfr,cfr
3315,sizes,tailles
3316,nasa,nasa
3317,dose,dose
3318,shell,coquille
3319,scott,scott
3320,shopping,shopping
3321,imported,importé
3322,spain,espagne
3323,exchanges,échanges
3324,withdrawal,retrait
3325,purchasing,achat
3326,marine,marin
3327,resellers,revendeurs
3328,junk,jonque
3329,your,votre
3330,village,village
3331,convert,convertir
3332,administrator,administrateur
3333,offerings,offres
3334,permits,permis
3335,australian,australien
3336,pushing,poussant
3337,addressed,adressée
3338,participate,participer
3339,relationships,relations
3340,writes,écrit
3341,demonstrate,démontrer
3342,telephone,téléphone
3343,asian,asiatique
3344,false,faux
3345,matrix,matrice
3346,automated,automatique
3347,fifth,cinquième
3348,counsel,avocat
3349,projected,projetée
3350,complicated,compliqué
3351,reductions,réductions
3352,excess,excès
3353,plo,olp
3354,drug,drogue
3355,prisoners,prisonniers
3356,viewed,vu
3357,missile,missile
3358,buffer,tampon
3359,average,moyenne
3360,diplomatic,diplomatique
3361,pool,piscine
3362,retain,conserver
3363,fda,fda
3364,principle,principe
3365,healthy,sain
3366,depend,dépendre
3367,1990s,1990
3368,restore,restaurer
3369,assume,assumer
3370,modes,modes
3371,guard,garde
3372,retailers,détaillants
3373,roman,romain
3374,communicate,communiquer
3375,complaint,plainte
3376,suitable,adapté
3377,witnesses,témoins
3378,penalty,pénalité
3379,league,ligue
3380,troubled,troublé
3381,spanish,espagnol
3382,post,poste
3383,outlook,perspective
3384,circumstances,conditions
3385,slot,fente
3386,allies,alliés
3387,employed,salarié
3388,inspection,inspection
3389,map,carte
3390,returning,retour
3391,secure,assurer
3392,toshiba,toshiba
3393,quiet,calme
3394,lt,lt
3395,tiny,minuscule
3396,transferred,transféré
3397,transportation,transport
3398,detroit,detroit
3399,libraries,bibliothèques
3400,grant,accorder
3401,automation,automation
3402,aide,aide
3403,sequence,séquence
3404,patent,brevet
3405,pull,tirer
3406,professionals,professionnels
3407,dismissed,rejeté
3408,protection,protection
3409,valuable,précieux
3410,mis,mis
3411,briefly,brièvement
3412,strategies,stratégies
3413,fashion,mode
3414,corporation,corporation
3415,baby,bébé
3416,specification,spécification
3417,third,troisième
3418,captured,capturé
3419,recommendations,recommandations
3420,sea,mer
3421,touch,toucher
3422,computing,informatique
3423,hostile,hostile
3424,surgery,chirurgie
3425,negotiate,négocier
3426,costly,cher
3427,scanner,scanner
3428,programme,programme
3429,storm,tempête
3430,constitutional,constitutionnel
3431,repeated,répété
3432,tells,raconte
3433,resources,ressources
3434,investigate,enquêter
3435,defendants,défendeurs
3436,vertical,vertical
3437,culture,culture
3438,keeps,garde
3439,pleaded,plaidé
3440,second,deuxième
3441,carter,charretier
3442,acceptable,acceptable
3443,dangerous,dangereux
3444,clock,horloge
3445,declining,déclinant
3446,pressures,pressions
3447,recovered,rétabli
3448,logical,logique
3449,macs,mac
3450,vice,vice
3451,laserjet,laserjet
3452,struggle,lutte
3453,faa,faa
3454,fellow,compagnon
3455,responded,répondu
3456,fail,échouer
3457,education,Éducation
3458,preparing,préparation
3459,alternatives,alternatives
3460,hearings,audiences
3461,pointed,pointu
3462,suspected,soupçonné
3463,activists,militants
3464,rural,rural
3465,judges,juges
3466,col,col
3467,chapter,chapitre
3468,feed,alimentation
3469,arrangement,arrangement
3470,carbon,carbone
3471,major,majeur
3472,buyer,acheteur
3473,gt,gt
3474,enhance,améliorer
3475,refugees,réfugiés
3476,difficulty,difficulté
3477,guerrilla,guérilla
3478,jews,juifs
3479,beirut,beyrouth
3480,handles,poignées
3481,nato,otan
3482,credit,crédit
3483,anderson,anderson
3484,collected,recueillies
3485,d,ré
3486,avenue,rue
3487,gateway,porte
3488,institutional,institutionnel
3489,dramatic,dramatique
3490,slide,diapositive
3491,long,longue
3492,essentially,essentiellement
3493,electronics,Électronique
3494,suspect,suspect
3495,wang,wang
3496,powers,pouvoirs
3497,cabinet,cabinet
3498,de,de
3499,evaluate,évaluer
3500,pollution,pollution
3501,flying,volant
3502,petroleum,pétrole
3503,joe,joe
3504,covering,couverture
3505,slowly,lentement
3506,routines,routines
3507,colleagues,collègues
3508,recognized,reconnu
3509,ireland,irlande
3510,ave,ave
3511,flag,drapeau
3512,based,basé
3513,choices,choix
3514,boat,bateau
3515,embassy,ambassade
3516,nodes,nœuds
3517,radical,radical
3518,accuracy,précision
3519,separately,séparément
3520,road,route
3521,room,salle
3522,without,sans
3523,support,soutien
3524,tight,serré
3525,objective,objectif
3526,subsequent,ultérieur
3527,star,Étoile
3528,carefully,soigneusement
3529,resolve,résoudre
3530,contribution,contribution
3531,controllers,contrôleurs
3532,alaska,alaska
3533,composition,composition
3534,radio,radio
3535,soil,sol
3536,borland,borland
3537,attract,attirer
3538,maintains,maintient
3539,expertise,compétence
3540,mary,marie
3541,ticket,billet
3542,tanks,réservoirs
3543,brand,marque
3544,airport,aéroport
3545,investment,investissement
3546,realize,réaliser
3547,stuff,étoffe
3548,wire,fil
3549,revolution,révolution
3550,sectors,secteurs
3551,noise,bruit
3552,rumors,rumeurs
3553,intervention,intervention
3554,conn,conn
3555,henry,henri
3556,club,club
3557,minnesota,minnesota
3558,scandal,scandale
3559,programmer,programmeur
3560,p,p
3561,explains,explique
3562,talked,parlé
3563,node,nœud
3564,approaches,approches
3565,allows,permet
3566,uncertainty,incertitude
3567,risen,augmenté
3568,stack,cheminée
3569,occurs,produit
3570,weakness,faiblesse
3571,founder,fondateur
3572,stephen,stephen
3573,pence,pence
3574,pakistan,pakistan
3575,behalf,nom
3576,chemical,chimique
3577,confident,confiant
3578,stanley,stanley
3579,silver,argent
3580,communist,communiste
3581,bulk,masse
3582,agricultural,agricole
3583,wright,wright
3584,jordan,jordanie
3585,hundred,cent
3586,mayor,maire
3587,hussein,hussein
3588,seattle,seattle
3589,sex,sexe
3590,sony,sony
3591,ordinary,ordinaire
3592,project,projet
3593,pleased,heureux
3594,trends,tendances
3595,fiber,fibre
3596,type,type
3597,busy,occupé
3598,suits,costumes
3599,page,page
3600,anniversary,anniversaire
3601,hoping,espérant
3602,i,je
3603,telecom,télécom
3604,symbol,symbole
3605,regime,régime
3606,dutch,néerlandais
3607,burden,charge
3608,readers,lecteurs
3609,contras,contras
3610,thrift,épargne
3611,grand,grandiose
3612,abuse,abus
3613,mhz,mhz
3614,barry,barry
3615,limitations,limites
3616,meaning,sens
3617,report,rapport
3618,necessarily,nécessairement
3619,reorganization,réorganisation
3620,mexican,mexicain
3621,application,application
3622,hydrogen,hydrogène
3623,converted,converti
3624,exception,exception
3625,approve,approuver
3626,gathered,réunis
3627,walked,marché
3628,specialist,spécialiste
3629,acts,actes
3630,notice,avis
3631,space,espace
3632,particles,particules
3633,labels,étiquettes
3634,resident,résident
3635,winner,gagnant
3636,label,étiquette
3637,taiwan,taiwan
3638,encouraged,encouragé
3639,nicaragua,nicaragua
3640,resignation,démission
3641,invited,invité
3642,aim,objectif
3643,investigations,enquêtes
3644,forecasts,prévisions
3645,intent,intention
3646,fun,amusement
3647,guy,gars
3648,bed,lit
3649,fled,fuite
3650,budget,budget
3651,finds,découvertes
3652,assault,agression
3653,personal,personnel
3654,perfect,parfait
3655,list,liste
3656,clark,clark
3657,vast,vaste
3658,anticipated,prévu
3659,favorite,favori
3660,taylor,taylor
3661,consecutive,consécutif
3662,veto,veto
3663,qtr,trim
3664,exists,existe
3665,arizona,arizona
3666,ill,malade
3667,decrease,diminuer
3668,ministry,ministère
3669,passing,passage
