francais,espanol
documentation,documentación
moteur,motor
III,III
menée,realizado
messages,Mensajes
logement,viviendas
entrée,entrada
connaissance,conocimiento
Angleterre,Inglaterra
Nous sommes,somos
mains,manos
relations,relación
MONDE,MUNDO
vie,vida
avocat,abogado
organisations,organizaciones
nettement,claramente
avis,aviso
combinaison,combinación
servir,viértelo
Afrique,África
bibliothèque,biblioteca
institutions,Instituciones
art,arte
suivre,seguimiento
protéger,proteger
disparu,que falta
étage,piso
appel,apelación
entendu,oído
servi,servido
joué,jugado
Seulement,sólo
Sol,suelo
parents,padres
remplacer,reemplazar
considérant,recital
obtient,consigue
social,social
Voyage,viajes
finalement,finalmente
compagnie aérienne,aerolínea
siège social,oficina central
visant,a
Charles,Charles
remarque,nota
situé,situado
décennie,década
continue,continúa
Analystes,Los analistas
du sud,meridional
Une fois,una vez
processeurs,procesadores
procédure,procedimiento
mère,madre
mondial,mundial
excellent,de primera categoría
Modèle,modelo
nord,norte
masse,masa
À partir de,Desde
numérique,digital
Février,febrero
impression,impresión
Jr,Jr
UNIX,UNIX
restructuration,reestructuración
accepter,aceptar
Comment,cómo
conventionnel,convencional
Cloche,campana
largement,extensamente
Standard,estándar
appliqué,aplicado
avocats,abogados
pratique,práctica
solutions,soluciones
recherché,buscados
augmentation,aumentar
Énergie,energía
exportation,exportación
fenêtres,ventanas
clairement,claramente
présentation,presentación
tonnes,montones
candidat,candidato
graphique,gráfico
mesuré,medido
équité,equidad
choisir,elegir
estimation,estimación
principalement,principalmente
quartier,barrio
étudié,estudiado
intégration,integración
Premier,primero
radiation,radiación
pilotes,conductores
experts,experto
fermeture,cierre
technique,técnica
rebelles,rebeldes
détient,ejerce
courut,corrió
à moins que,a menos que
apprendre,aprender
débat,debate
condamné,condenado
refs,árbitros
acier,acero
familles,familia
paramètres,Ajustes
Ouvert,abierto
prédit,previsto
figues,higos
décisions,decisiones
fini,terminado
décider,decidir
Il ya,Ahi esta
allégué,presunto
direction,dirección
lancé,lanzado
candidats,candidatos
Kong,Kong
charge,carga
Président,presidente
environnements,ambientes
Fois,tiempo
physique,físico
mesures,pasos
dépôt,depósito
stations,estaciones
rassemblement,mitin
feutre,sentido
propagation,propagación
difficulté,dificultad
exportations,exportaciones
course,raza
sud,sur
père,padre
assurer,asegurar
livres,libros
actes,acciones
influence,influencia
Financier,financiero
ainsi,así
affecté,afectado
positions,posiciones
réglage,ajuste
rapports,relaciones
propositions,propuestas
urgence,emergencia
réaction,reacción
différences,diferencias
croître,crecer
souple,flexible
possibilité,posibilidad
représente,representa
Soviétiques,soviético
Plutôt,más bien
blessé,lesionado
étudiant,estudiante
Compaq,Compaq
automatique,automático
auto,auto
gérant,gerente
bases de données,Bases de datos
mixte,mixto
indiquer,indicar
peur,miedo
présence,presencia
positif,positivo
Peter,Peter
printemps,primavera
statué,gobernado
changement,cambio
sang,sangre
violence,violencia
sûrement,seguramente
devient,se convierte en
substantiel,sustancial
tiré,estirado
autorité,autoridad
octets,bytes
amélioration,mejora
deux fois,dos veces
entrée,entrada
Personnes,gente
manuel,manual
chaud,caliente
lancer,lanzamiento
nord,norte
Congrès,congreso
côtés,lados
Ohio,Ohio
vendeur,vendedor
film,película
agents,agentes
élu,elegido
avant,antes
devenir,convertirse en
plate-forme,plataforma
style,estilo
souffert,sufrido
Saoudien,Arabia
employé,empleado
École,escuela
colonne,columna
Johnson,Johnson
image,imagen
immédiat,inmediato
caractères,impresión
meurtre,asesinato
défi,desafío
théorie,teoría
arrivée,llegada
but,puntuación
amis,amigos
se déplace,se mueve
blesser,daño
recettes,ingresos
pouces,pulgada
de plus en plus,cada vez más
manipulation,manipulación
consommateurs,consumidor
contact,contacto
étendu,expandido
chiffre d'affaires,facturación
Commerce,comercio
links,enlaces
réseautage,Networking
tendance,tendencia
interfaces,Interfaces
Compagnies aériennes,Aerolíneas
Ma,mi
financement,financiamiento
confirmé,confirmado
échelle,escala
signal,señal
étroitement,cercanamente
victimes,bajas
recommandé,recomendado
Côte,costa
électeurs,electorado
sur,en
optique,óptico
lié,encuadernado
Maison,casa
enfin,por fin
modules,módulos
menace,amenaza
sauvegarde,salvaguardar
savait,sabía
Africain,africano
annuaire,directorio
prêt,préstamo
avancer,adelante
observé,observado
module,módulo
sélectionner,seleccionar
ne ont pas,no
accident,accidente
exprimé,expresada
honoraires,los honorarios
contraster,contrastar
Boulanger,panadero
leadership,liderazgo
esprit,espíritu
ni,ni
Commerce,comercio
Leur,su
route,carretera
facilité,facilidad
Ministère,ministerio
église,iglesia
en partie,en parte
significativement,significativamente
responsabilité,responsabilidad
Série,serie
négociés,negociado
Contrôle,control
sorte,clase
maladie,enfermedad
MS-DOS,MS-DOS
fond,fondo
protocole,protocolo
Projet de loi,Proyecto de ley
tâches,tareas
réel,real
PS,PS
perdre,perder
vous aurez,Vas
déclarations,declaraciones
étendre,expandir
attente,espera
télécommunications,Telecomunicaciones
Encore,todavía
cachette,escondite
réforme,reforma
protestation,protesta
programme,programa de estudios
après-midi,tarde
en série,serial
1980,1980
impliquant,involucrando
partenaire,socio
déclaré,declarado
résultats,resultados
Anglais,Inglés
double,doble
livraison,envío
collection,colección
Ventes,venta
régulier,regular
équivalent,equivalente
limites,limitaciones
signes,signos
technologies,tecnología
acheté,comprado
Corp. de,Corp. desde
passer,ir
sélection,selección
voté,votado
criminel,criminal
investissements,inversiones
payant,pago
maisons,viviendas
temps,tiempo
bar,bar
représenter,representar
tout le monde,todo el mundo
référence,referencia
fonte,fusión
parlant,hablando
attendre,aférrate
cassé,roto
propriétaire,propietario
cancer,cáncer
dessin,dibujo
micro-ordinateur,microordenador
accepté,aceptado
propriétaires,propietarios
mère,madre
importations,importaciones
expérimental,experimental
à l'échelle nationale,nacionalmente
transmission,transmisión
visages,caras
Bush,arbusto
semblait,parecido
adopté,adoptado
contrôlée,controlada
posté,publicado
licence,licenciatura
nature,naturaleza
défini,definida
hôtel,hotel
rabais,descuento
chaîne,cadena
Travail,Trabajo
affecter,afectar
CBS,CBS
ferme,granja
demandes,Aplicaciones
propriétaire,propietario
contenir,contener
efficacité,eficacia
stocké,almacenada
affiche,cartel
concept,concepto
conclusion,conclusión
solide,sólido
acquérir,adquirir
promis,prometido
rue,calle
couvert,cubierto
joueurs,Jugadores
Roi,rey
Technologies,tecnologías
productivité,productividad
Version,versión
annonce,anuncio
qui,que
Élevé,alto
traité,procesado
principalement,principalmente
voyage,viajes
Santé,salud
Division,división
fixé,fijo
stratégique,estratégico
Colline,colina
expert,experto
professionnel,profesional
degré,grado
lié,encuadernado
Fonctionnaires,funcionarios
évaluation,valoración
agriculteurs,Los agricultores
prévision,pronóstico
bâtiments,edificios
a grandi,creció
Fed,Fed
noyau,núcleo
véhicules,vehículos
Encore,todavía
marque,marca
établir,establecer
Comme,tal Como
emplacement,ubicación
Paris,París
rayon,pasillo
vend,vende
familier,familiar
assez,suficiente
réunions,reuniones
illégal,ilegal
compatibilité,compatibilidad
faible,bajo
propriétaire,propietario
plates-formes,Plataformas
Brun,marrón
différend,disputa
pousser,empujar
Vallée,valle
appliquer,aplicar
gagné,won
Avant,antes
mari,marido
interdire,prohibición
investisseur,inversor
paiement,pago
Japon,Japón
bas,bajo
Milieu,medio
réduire,reducir
courrier,correo
VMS,VMS
arriver,llegar
fabricant,fabricante
procès,ensayo
difficile,desafiante
joindre,unirse
listes,listas
match,partido
métal,metal
garde,guardia
gérer,gestionar
plus,más
identifier,identificar
portable,portátil
cité,ciudad
sièges,asientos
macro,macro
victoire,victoria
mensuel,mensual
tour,torre
résultant,resultante
rouge,rojo
partie,parte
votes,votos
réalisation,logro
calendrier,calendario
CPU,UPC
copies,copias
regardé,visto
couleurs,de color
Hirondelle,tragar
transactions,transacciones
pire,peor
Républicains,republicanos
importation,importación
arrêté,detenido
Corée,Corea
environ,acerca de
revue,revisión
commencé,comenzado
assistant,asistente
auteur,autor
Jim,Jim
net,neto
frais,fresco
généré,generado
aimer,quiéralo
conseil,consejo
Massachusetts,Massachusetts
Franc,franco
pratiquement,prácticamente
confiance,confianza
générer,generar
Réserve,reserva
gouvernements,Los gobiernos
adjoint,asistente
partout dans le monde,en todo el mundo
consiste,es
fin,fin
putting,puesta
partenaires,socios
fraude,fraude
Rivière,río
préféré,favorito
attaques,ataques
Aujourd'hui,hoy
carrière,carrera
à tête,con membrete
Public,público
Ainsi,así
RISC,RISC
communication,comunicación
transport,transporte
aujourd'hui,hoy
égal,igual
porteur,portador
siècle,siglo
fortement,fuertemente
conservateur,conservador
comportement,comportamiento
Bob,Bob
retard,retraso
Chrétien,cristiano
sommet,superior
se adapter,encajar
pilote,piloto
concurrents,competidores
confiance,confianza
correct,correcto
jouer,jugar
complètement,completamente
contenant,que contiene
faillite,quiebra
sophistiqué,sofisticado
à l'étranger,en el extranjero
attrayant,atractivo
dispositions,provisiones
porte,puerta
fille,chica
assassiner,asesinato
programmeurs,Programadores
géré,gestionado
donc,por lo tanto
typique,típico
atteint,afectado
retiré,retirado
moins,menos
douzaine,docena
opposé,opuesto
suggérer,sugerir
Puissance,energía
rapport,informe
offres,ofertas
capable,capaz
extrêmement,extremadamente
coupe,corte
Pentagone,pentágono
principal,principal
Apple,manzana
Le,la
efficace,eficaz
Prix,precio
obtenir,obtener
montants,cantidades
des millions,millones
atteindre,llegar
milieu,medio
once,onza
Inc. de,Inc.
industries,industrias
x,x
exhorté,instado
chute,soltar
coupable,culpable
structures,estructuras
assistance,asistencia
prouver,probar
jeux,Juegos
onglets,fichas
Industrie,industria
pluie,lluvia
découvert,descubierto
accords,Acuerdos
agent,agente
détaillé,detallado
blessés,herido
auteurs,autores
renforcée,reforzado
Graphique,gráfico
menus,menús
producteurs,productores
Hôpital,hospital
relatif,relativo
divisé,división
compter,contar
degrés,grados
aéroport,aeropuerto
Indien,indio
sait,sabe
réformes,reformas
NBC,NBC
décrit,descrito
vues,vistas
ne étaient pas,no eran
des événements,eventos
Gov,Gov
Californie,California
Associés,Asociados
Palestinien,palestino
Atlanta,Atlanta
chemin,camino
DC,corriente continua
gouverneur,gobernador
content,contenido
caractéristiques,características
électronique,electrónico
vague,ola
unique,único
emploi,empleo
restrictions,restricciones
livre,libro
favoriser,promover
camion,camión
écrans,pantallas
en ligne,en línea
représenté,representado
enquête,investigación
tableaux,pinturas
Liban,Líbano
personnes,gente
manquant,que falta
médecins,Médicos
production,producción
Micro,micro
Noël,Navidad
Ici,aquí
ports,puertos
formats,formatos
attentes,expectativas
lecture,lectura
cycle,ciclo
savant,científico
sauté,salteado
installer,preparar
transition,transición
nommé,nombrado
centres,centros
Atlantique,Atlántico
pièce,jugar
brut,bruto
moment,tiempo
LAN,LAN
canal,canal
crime,crimen
négatif,negativo
conversion,conversión
extensif,extenso
se produire,ocurrir
société,sociedad
journaux,periódicos
guérilleros,guerrilleros
occidental,occidental
Nous avons,tenemos
entendre,escuchar
SCSI,SCSI
SEC,SEC
bornes,límites
Du sud,meridional
opinion,opinión
suggère,sugiere
est,es
surveillance,vigilancia
opérateur,operador
engagé,comprometido
large,grande
lieux,lugares
réserves,stocks
remplacé,reemplazado
avant,antes
magnétique,magnético
évaluation,valoración
Électrique,eléctrico
appels,llamadas
Viêt-Nam,Vietnam
rapide,rápido
Programme,Programa De Estudios
expliqué,explicado
respectivement,respectivamente
menacés,amenazados
composant,componente
exactement,exactamente
Nord,norte
micro-ordinateurs,microcomputadoras
fonctionne,obras
vs,vs
décalage,cambio
exposition,exposición
secret,secreto
dBASE,dBASE
court terme,corto plazo
Manquer,señorita
liberté,libertad
promoteur,revelador
consultant,consultor
collège,colegio
extension,extensión
semaine de,semana
revendeur,comerciante
incident,incidente
proche,parecido
disposition,provisión
demandant,llamando
Jour,día
virus,virus
Morgan,Morgan
Williams,Williams
engagement,compromiso
présentation,presentación
Utilisation,uso
s,s
un peu,un poco
régulateurs,reguladores
averti,prevenido
flexibilité,flexibilidad
rivaliser,competir
indépendance,independencia
commun,común
pont,puente
adaptateur,adaptador
réfléchir,pensar
Plus tôt,más temprano
coffre-fort,seguro
frais,fresco
hypothèque,hipoteca
les classes,clases
ami,amigo
Lee,sotavento
idées,Ideas
traité,procesado
Q,Q
rapidement,rápidamente
Dallas,Dallas
Joseph,Joseph
réglementation,regulación
e,e
exécuter,realizar
mis en œuvre,implementado
Capital,capital
protocoles,protocolos
WordPerfect,WordPerfect
démontré,se muestra
commence,comienza
GM,GM
doute,duda
mission,misión
Oracle,oráculo
mesures,pasos
bord,borde
Fournit,proporciona
Italien,italiano
fonction,función
mécanisme,mecanismo
géant,gigante
comparaison,comparación
équipage,tripulación
politique,político
réacteur,reactor
financement,financiamiento
profond,profundo
importance,importancia
initialement,inicialmente
aucun,no
choisir,elegir
Houston,Houston
Virginie,Virginia
orientée objet,orientado a objetos
perdant,perdedor
permettre,permitir
véhicule,vehículo
assemblage,montaje
résigné,resignado
demandes,Aplicaciones
initialement,inicialmente
poids,peso
établissement des prix,precios
imprimé,impreso
place,lugar
est,es
improbable,improbable
conduite,conducción
Grand,gran
armé,armado
en attendant,pendiente
Serveur,servidor
mur,pared
CE,CE
instructions,instrucciones
inventaire,inventario
ingénieurs,ingenieros
soutenu,apoyado
producteur,productor
train,tren
contenue,contenida
respect,respeto
thermique,térmico
parlant,hablando
établi,establecido
statistiques,estadística
Enfin,Por Fin
sociétés,Empresas
longueur,longitud
choisi,seleccionado
EPA,EPA
Palestiniens,palestinos
chômage,desempleo
compilateur,compilador
passagers,pasajeros
Industries,Industrias
Juste,derecho
le plus bas,más bajo
siège,asiento
souvent,a menudo
intéressant,interesante
supprimer,quitar
soumis,sujeto
incapable,incapaz
Gouvernement,gobierno
anonymat,anonimato
missiles,misiles
Persan,persa
créanciers,acreedores
32 bits,32 bits
Jersey,Jersey
diffusion,radiodifusión
syndicats,sindicatos
mineur,menor
Illinois,Illinois
temporaire,temporal
échantillons,muestras
Italie,Italia
remplir,rellenar
Figure,figura
Chrysler,Chrysler
erreurs,errores
Rouge,rojo
TCP,TCP
Columbia,Columbia
têtes,cabezas
préliminaire,preliminar
public,público
routine,rutina
Comprend,incluye
rythme,paso
ressortissants,ciudadanos
plat,plano
avions,aviones
INC,INC
clés,clave
formel,formal
intelligence,inteligencia
calculé,calculado
recevoir,recibir
expériences,experiencias
Abc,abecedario
Exprimer,expresar
Revenu,ingresos
rendements,devoluciones
ont totalisé,totalizado
heureux,feliz
Section,sección
blâmé,culpado
Musulman,musulmán
bref,corto
Mot,palabra
foule,multitud
entraîné,led
livrer,entregar
Gen,Gen
livré,liberado
achats,Las compras
partisans,partidarios
rival,rival
typiquement,típicamente
implique,implica
moniteurs,monitores
introduction,introducción
couche,capa
Net,neto
ouest,oeste
Baie,bahía
améliorations,mejoras
boîtes,latas
Avancé,avanzado
divulgué,especificado
Quatre,cuatro
réglementation,regulación
Tom,Tom
vous avez,tienes
rues,calles
scientifiques,científicos
Boeing,Boeing
permis,permitido
aider,ayuda
couverture,cubierta
Salle,habitación
IP,IP
Etat de,estado
minorité,minoría
langues,idiomas
produit,producto
Mandataire,abogado
Volume,volumen
titulaires,titulares
consultant,consultor
Fonds,fondos
électrique,eléctrico
ébauche,borrador
Société,sociedad
Confiance,confianza
chaîne,cadena
équitablement,bastante
froid,frío
Marque,marca
scène,escena
chercheurs,investigadores
marge,margen
En outre,Adicionalmente
pension,pensión
multimédia,multimedia
prouvé,probado
craintes,temores
backed,Respaldados
marges,márgenes
étoile,estrella
secondes,segundo
avantages,Beneficios
soi-disant,supuestamente
opérateurs,operadores
Bureau,oficina
motif,patrón
vent,viento
sévère,grave
témoignage,testimonio
Panama,Panamá
mouvement,movimiento
allant,desde
élevage,cría
Australie,Australia
fortement,fuertemente
carré,cuadrado
modifié,modificado
blessures,lesión
réflexion,reflexión
stable,estable
Or,oro
Communauté,comunidad
enregistré,grabado
envoi,envío
habituel,usual
itinéraire,itinerario
Partie,parte
phrase,frase
affaires,negocios
prochainement,dentro de poco
économiste,economista
conscient,consciente
transporteur,portador
discussion,discusión
dessiner,dibujar
détail,detalle
retraité,jubilado
peut-être,puede ser
batterie,batería
calculs,Cálculos
Kennedy,Kennedy
élément,elemento
chauffage,calefacción
sondage,estudio
inhabituel,insólito
Pologne,Polonia
aspects,aspectos
fins,propósitos
relief,alivio
cohérent,coherente
Russe,ruso
apprentissage,aprendizaje
entente,acuerdo
échantillon,muestra
mine,mina
ni,ni
Garde,guardia
bombe,bomba
Inde,India
Faire,hacer
représentants,Representantes
Temps,tiempo
représentation,representación
propre,propio
allégations,alegaciones
Merrill,Merrill
intérimaire,interino
extrémités,extremidades
bases,bases
tableau,imagen
températures,temperaturas
fentes,ranuras
plastique,plástico
usine,fábrica
opportunités,oportunidades
apportant,trayendo
Miami,Miami
transport,transporte
compression,compresión
service,servicio
pris,tomado
exister,existir
cocaïne,cocaína
pire,peor
résistance,resistencia
Hewlett-Packard,Hewlett-Packard
jeu,juego
prix,precio
définir,definir
observateurs,observadores
rédaction,escritura
tendre,tierno
normalement,normalmente
satellite,satélite
né,nacido
ministres,Ministros
Noriega,Noriega
exigence,requisito
développements,desarrollos
traitement,tratamiento
Parlement,parlamento
annonces,anuncios
efficacement,eficazmente
moderne,moderno
science,ciencia
encastré,incorporado
Libération,liberación
coalition,coalición
papiers,papeles
Église,iglesia
départs,salidas
ampleur,magnitud
amendement,enmienda
regarder,ver
récolte,cosecha
dévoué,dedicado
liquide,líquido
examiné,examinado
Son,su
Les prix,precios
signaux,señales
Organisation,organización
exigeant,exigente
conflit,conflicto
dynamique,dinámica
conclu,concluido
titre,título
divisé,división
éliminer,quitar
définition,definición
imposé,impuesto
étendre,expandir
ville de,ciudad
Île,isla
signifiait,significaba
Lac,lago
formation,entrenamiento
considération,consideración
Coréen,coreano
Meunier,molinero
essence,gasolina
circuit,circuito
soirée,noche
sessions,sesiones
autrement,de otra manera
sensible,sensible
invité,invitado
sections,secciones
gagnant,ganador
Brothers,Hermanos
prison,prisión
Assurance,seguro
Juif,judío
Produits,Productos
mûr,maduro
tentatives,Los intentos
fournisseurs,proveedores
expédiés,transportado
feuilles,hojas
critiqué,criticado
occupé,ocupado
dépend,depende
décennies,décadas
convention,convención
spécifier,especificar
Social,social
spéculation,especulación
demandé,necesario
essentiel,esencial
professeur,profesor
ailleurs,en otra parte
jet,jet
administratif,administrativo
imagerie,imágenes
compte,cuenta
Je avais,tuve
suit,siguiente
Catholique,católico
aide,ayuda
caractéristiques,características
Bien que,aunque
voler,volar
annoncer,anunciar
ressource,recurso
tournant,torneado
pressé,planchado
IS,ES
Drexel,Drexel
apparent,aparente
récemment,recientemente
forme,forma
avertissement,advertencia
Saoudite,Saudita
législateurs,legisladores
objectifs,metas
Davis,Davis
électrique,eléctrico
CD-ROM,CD-ROM
rock,roca
rempli,lleno
sérieusement,en serio
conseils,asesoramiento
Iranien,iraní
La,Ya Está
scientifique,científico
Agriculture,agricultura
segment,segmento
pic,pico
Canal,canal
Edward,Edward
auraient,haría
démocratie,democracia
accord,acuerdo
économistes,economistas
les causes,Causas
Jack,gato
catégorie,categoría
haut de gamme,de gama alta
perspectives,perspectiva
défaut,criticar
Chef,jefe
Adobe,adobe
enchères,subasta
FBI,FBI
Médical,médico
suspendu,suspendido
résisté,capeado
maintenu,mantenido
stabilité,estabilidad
blocs,bloques
création,creación
répandu,extendido
raisonnable,razonable
emplacements,ubicaciones
association,asociación
produits chimiques,Productos Químicos
Saddam,Saddam
relier,enlace
Microsystems,Microsystems
spécifié,especificado
Noirs,negro
considérable,considerable
branche,inconformista
Jeune,joven
Écologique,ecológico
organes,órganos
liens,conexiones
permet,permite
conduite,conducción
rappeler,llamar de vuelta
reconnu,conocido
catastrophe,desastre
répondre,responder
grandiose,grandioso
à bord,a bordo
référence,referencia
propre,propio
tournage,disparo
indique,espectáculos
description,descripción
Lyncher,linchar
disponibilité,disponibilidad
vote,voto
pièces,monedas
rapide,rápido
supérieur,superior
avortement,aborto
concentration,concentración
liens,conexiones
consommation,consumo
Suisse,Suiza
introduire,introducir
Virginie,Virginia
tour,torre
mainframes,mainframes
CASE,CASO
annuellement,anualmente
exploitation minière,minería
virtuel,virtual
dégâts,daños y perjuicios
portatif,portátil
frappé,herido
déchu,caído
densité,densidad
possession,posesión
plus gros,más grande
salaire,salario
décès,muerte
portefeuille,cartera
organisé,organizado
guider,guiar
Démocrate,demócrata
massif,macizo
logique,lógica
cassé,roto
Pourquoi,¿Por qué
Est,es
joueur,jugador
filières,canales
variable,variable
vols,vuelos
électricité,electricidad
pratiques,prácticas
hiver,invierno
pratique,práctica
critique,crítico
promesse,promesa
Michigan,Michigan
CAD,CAD
fréquence,frecuencia
faisceau,haz
voit,ve
1970,1970
Wilson,Wilson
enfants,niños
encourager,alentar
flexible,flexible
Motorola,Motorola
Monsieur,Sr.
barils,barriles
Louis,Louis
accordée,concedido
invasion,invasión
offset,offset
résoudre,resolver
affichée,desplegado
impossible,imposible
discussions,discusiones
dessins,dibujos
marqué,marcado
relationnel,relacional
agréable,agradable
cadre,marco
décerné,adjudicado
expliquer,explicar
transporteurs,Carriers
Kansas,Kansas
navires,Embarcaciones
tout droit,todo derecho
Collège,colegio
Directeur,director
simultanément,juntos
partenariat,asociación
Noir,negro
anneau,anillo
grimpé,aumentado
manifestations,eventos
inquiéter,preocuparse
à l'étranger,en el extranjero
films,cine
tendre,tierno
Philadelphie,Filadelfia
El,El
interactif,interactivo
espéré,esperado
modeste,modesto
religieuse,religioso
hôpitaux,Hospitales
GROUPE,GRUPOS
choisi,seleccionado
Tout,todos
Conférence,conferencia
tierce personne,tercero
frais,fresco
évident,obvio
indigène,nativo
attaché,adjunto
questions,cuestiones
compagnies aériennes,aerolíneas
microprocesseur,microprocesador
évalué,evaluado
mourir,morir
peuplements,gradas
hectares,hectáreas
Huile,aceite
otages,rehenes
OSI,OSI
attribué,asignado
plus près,más cercano
NCR,NCR
Fichier,expediente
cibles,objetivo
prétendument,pretendidamente
En effet,En Efecto
spécifiquement,específicamente
électron,electrón
Semaine,semana
apparence,apariencia
m,sr
arrêter,deténgase
reconnaissance,reconocimiento
vacances,fiesta
acquisitions,adquisiciones
Corp de,Corp
critères,criterios
focalisé,centrado
lot,mucho
Décembre de,diciembre
tribunaux,tribunales
graphique,gráfico
frère,hermano
mince,delgado
riche,rico
frais,fresco
moyen,medio
suffisant,suficiente
souhaiter,desear
condamné,condenado
formule,fórmula
permanent,permanente
Plage,playa
battre,lucha
expéditions,Los envíos
admis,aceptado
garçon,camarero
parement,frente a
autrefois,en el pasado
stress,estrés
IRS,IRS
camp,campamento
article,artículo
notes,Notas
estimé,valorado
compétences,habilidades
permettre,permitir
bleu,azul
IV,IV
retraite,jubilación
enquêteurs,investigadores
garantie,garantía
vécu,vivido
camions,camiones
marié,casado
améliorer,mejorar
risques,riesgos
expérimenté,experimentado
nous allons,lo haremos
endommagé,estropeado
modifié,modificado
supposé,asumido
Unisys,Unisys
contribué,contribuido
Journal,periódico
Fort,fuerte
rentable,rentable
île,isla
argument,argumento
fonctionnalité,funcionalidad
fourni,previsto
fort,fuerte
décrire,describir
Caroline,Caroline
contrôles,controles
Vie,vida
entièrement,enteramente
inscrit,registrado
parlement,parlamento
plaintes,Quejas
Sur,en
parc,parque
compétition,competencia
traverser,cruzar
exemples,Ejemplos
Shearson,Shearson
œil,ojo
modems,módems
détruit,destruido
minute,minuto
date limite,fecha tope
grain,grano
Clara,Clara
parler,hablar
sentiment,sentimiento
arbre,árbol
mentionné,mencionado
exercice,ejercicio
Suivant,siguiente
adéquat,adecuado
Moteur,motor
différé,retrasado
Exceller,sobresalir
pacte,pacto
monétaire,monetario
loué,alquilado
poisson,pescado
Fla,Fla
PLC,PLC
éditeur,editor
brut,bruto
Il est,Ahi esta
résultats,resultados
lignes directrices,Directrices
représentant,representante
Exécutif,ejecutivo
reflété,reflejada
pièces,monedas
pense,pensar
constante,constante
pilotes,conductores
blé,maíz
nombreux,muchos
compromis,compromiso
actionnaire,accionista
Architecture,arquitectura
Épargnes,ahorros
coutume,costumbre
prime,prima
alliance,alianza
exécution,ejecución
secondaire,secundario
excédent,superávit
entend,oye
surprise,sorpresa
hors cote,en el mostrador
expérience,experiencia
Interface,interfaz
boutique,tienda
avocats,abogados
Index,índice
sanctions,sanciones
régions,áreas
adhésion,afiliación
cadeaux,regalos
grossièrement,aproximadamente
autorisé,autorizado
doux,dulce
paire,par
coopération,cooperación
Évalué,nominal
en option,opcional
au milieu de,en medio de
Autres,otro
histoires,historias
Douglas,Douglas
les variables,variable
Steve,Steve
zone,zona
peu importe,no importa
attribué,asignado
tiré,estirado
conseiller,tutor
fondé,fundado
Harris,Harris
distance,distancia
hebdomadaire,semanal
atout,baza
départements,departamentos
publiquement,en público
RNIS,RDSI
fiabilité,confiabilidad
témoigné,presenciado
Classe,clase
arbres,árboles
Nous avons,tenemos
écart,brecha
navette,lanzadera
Alan,Alan
fondamental,fundamental
critiques,crítico
université,universidad
Micro,micro
vitesses,velocidades
Continental,continental
modéré,moderado
concernant,acerca de
sauvé,salvado
attaché,adjunto
bande,tira
sauter,omitir
tuer,matar
ethnique,étnico
Courrier,correo
dépôts,depósitos
blé,maíz
explosion,explosión
simulation,simulación
cabinet de,firma
remplacement,reemplazo
impliquer,involucrar
plasma,plasma
tiré,estirado
Nations,Naciones
beaucoup,tanto
ASCII,ASCII
bras,brazo
couvercles,Cubiertas
participants,participantes
prospects,perspectivas
Iowa,Iowa
saisis,antes
Associated,asociado
Quayle,Quayle
laboratoire,laboratorio
mise en application,implementación
rajusté,ajustado
Financement,financiamiento
chargé,cargado
maître,maestro
Géorgie,Georgia
surpris,sorprendido
Montagne,montaña
glissé,deslizamiento
bureau,oficina
accentuation,acentuación
sportif,deportes
poussé,impulsado
coup,golpe
Mikhail,Mikhail
verre,vidrio
puts,puts
trimestriel,trimestral
Microsoft,Microsoft
correctement,correctamente
Berlin,Berlín
Malheureusement,desafortunadamente
politiciens,Los políticos
rangée,fila
Marché,mercado
assisté,asistido
Nourriture,comida
priorité,prioridad
feuille,hoja
pistolet,pistola
fermer,de cerca
évaluation,valoración
négociation,negociación
Grande-Bretagne,Gran Bretaña
types,tipos
vers,a
précis,específico
agressif,agresivo
investir,invertir
Donald,Donald
Super,gran
appartement,apartamento
solaire,solar
GOP,GOP
crée,crea
publication,publicación
patient,paciente
équipes,equipos
complet,no hay vacantes
inquiet,preocupado
exploité,explotado
reconnaître,reconocer
capture,captura
dernier,último
protégé,protegido
dirigé,dirigido
Labs,laboratorios
jeter,tirar a la basura
Asie,Asia
instruction,instrucción
concernant,acerca de
16 bits,16 bits
délégués,delegación
catégories,Categorías
Manhattan,Manhattan
n,n
Royal,real
arguments,caso
effondrement,colapso
un an plus tôt,Hace un año
exigé,necesario
mettre à jour,actualización
face,cara
promouvoir,promover
enseignants,profesores
contributions,contribuciones
Accès,acceso
algorithme,algoritmo
Pennsylvanie,Pensilvania
animaux,animales
côte,costa
réussir,tener éxito
graphique,gráfico
les bits,pedacitos
plaints,quejado
debout,permanente
mer,mar
Contrairement à,desemejante
démonstration,demostración
prédire,predecir
réparation,reparación
quinquennal,quinquenal
substantiellement,sustancialmente
travailleur,trabajo duro
compensation,compensación
Jusqu'à,a
exploitations,granjas
Équipement,equipo
métaux,metales
Industriel,industrial
acide,ácido
codes,códigos
Je vais,voy
de côté,aparte
enquête,investigación
Économique,económico
AS,COMO
reflète,refleja
succès,éxito
Allemands,alemán
restaurant,restaurante
comté,condado
révélé,revelado
ingénieur,ingeniero
Motors,Motors
danger,peligro
Boîte,caja
zéro,cero
Pékin,Pekin
civil,civil
photos,fotos
employeurs,empleadores
sec,seco
courtiers,comerciante
seulement,sólo
passe,pasar
courtage,corretaje
industriels,industrial
